time|position|velocity|acceleration|rotation|rotational velocity|sun|charge
3933|-4085338.5105665373,-7404255.877759503,2133774.192630012|5061.803942163915,-2309.084411261224,-1562.048191033396|0,0,0|0,0,0|0,0,0|-0.9999996932456102,-0.0007832676905399703,0|9.742137505526921
3934|-4082391.97945916,-7405599.077670201,2132864.818540667|5063.232193783392,-2306.494683355424,-1562.7942776126097|0,0,0|0,0,0|0,0,0|-0.9999996930896401,-0.0007834667926066449,0|9.742276611904959
3935|-4079443.6396335475,-7406941.214767884,2131954.708443852|5064.660114894413,-2303.903214936814,-1563.5404119560765|0,0,0|0,0,0|0,0,0|-0.9999996929336303,-0.0007836658946732886,0|9.742415718338261
3936|-4076531.814710973,-7408264.877911229,2131055.6955362083|5066.0691669790995,-2301.3436931002166,-1564.2769031033833|0,0,0|0,0,0|0,0,0|-0.9999996927775809,-0.0007838649967399011,0|9.742554824826824
3937|-4073579.8761088387,-7409604.898914704,2130144.120882619|5067.496429848178,-2298.7487598786706,-1565.0231324227343|0,0,0|0,0,0|0,0,0|-0.9999996926214919,-0.0007840640988064826,0|9.742693931370653
3938|-4070626.123924017,-7410943.852798774,2129231.8081056997|5068.923360676964,-2296.152079715085,-1565.7694095734435|0,0,0|0,0,0|0,0,0|-0.9999996924653632,-0.000784263200873033,0|9.74283303796974
3939|-4067708.9521580776,-7412264.369835022,2128330.6190467663|5070.331433831394,-2293.587407504918,-1566.506041737651|0,0,0|0,0,0|0,0,0|-0.9999996923091949,-0.0007844623029395523,0|9.74297214462409
3940|-4064713.1722784825,-7413618.553407838,2127404.965340439|5071.776224141675,-2290.9534699242686,-1567.2621074541687|0,0,0|0,0,0|0,0,0|-0.999999692152987,-0.0007846614050060405,0|9.743111251333705
3941|-4061792.412416264,-7414936.956774082,2126502.3157079313|5073.183639283999,-2288.3853385677703,-1567.998834142197|0,0,0|0,0,0|0,0,0|-0.9999996919967393,-0.0007848605070724977,0|9.743250358098582
3942|-4058831.4132181746,-7416271.6415934125,2125587.0529549797|5074.609241096899,-2285.781671832705,-1568.7453022051182|0,0,0|0,0,0|0,0,0|-0.999999691840452,-0.0007850596091389237,0|9.743389464918721
3943|-4055868.5922856443,-7417605.252027895,2124671.0485283774|5076.034508266067,-2283.176247359628,-1569.4918182011177|0,0,0|0,0,0|0,0,0|-0.9999996916841251,-0.0007852587112053186,0|9.743528571794124
3944|-4052942.4615469147,-7418920.487866866,2123766.212277456|5077.4409368025845,-2280.6029338006497,-1570.2286862059282|0,0,0|0,0,0|0,0,0|-0.9999996915277585,-0.0007854578132716825,0|9.74366767872479
3945|-4049937.478659163,-7420269.243865151,2122836.811794962|5078.884036554816,-2277.9601164995593,-1570.9849940671415|0,0,0|0,0,0|0,0,0|-0.9999996913713523,-0.000785656915338015,0|9.743806785710719
3946|-4047007.743695106,-7421582.351597953,2121930.507940083|5080.289801882787,-2275.383322405899,-1571.7219567837046|0,0,0|0,0,0|0,0,0|-0.9999996912149064,-0.0007858560174043165,0|9.74394589275191
3947|-4044037.6431728825,-7422911.663810373,2121011.539337921|5081.713729540574,-2272.770868162459,-1572.4686640714722|0,0,0|0,0,0|0,0,0|-0.9999996910584209,-0.0007860551194705869,0|9.744084999848365
3948|-4041065.712726707,-7424239.894277048,2120091.825489522|5083.137319893078,-2270.1566453070573,-1573.2154193809542|0,0,0|0,0,0|0,0,0|-0.9999996909018958,-0.000786254221536826,0|9.744224107000079
3949|-4038091.9507098477,-7425567.0415104,2119171.3656758154|5084.560572399551,-2267.540651649787,-1573.9622227283357|0,0,0|0,0,0|0,0,0|-0.999999690745331,-0.000786453323603034,0|9.744363214207057
